20190704200608.25,35.7007,-117.4760,11.9,3.40,0
CI.TOW2,2019-07-04T20:06:13.608000Z,2019-07-04T20:06:18.378000Z,2.215568386510751e-05,6444.5
CI.WRC2,2019-07-04T20:06:13.638000Z,2019-07-04T20:06:18.288000Z,1.4269527321127317e-05,18549.7
CI.SRT,2019-07-04T20:06:12.928000Z,2019-07-04T20:06:17.018000Z,1.6320658538808865e-05,2994.2
CI.CCC,2019-07-04T20:06:12.738000Z,2019-07-04T20:06:16.558000Z,1.5547718376481804e-05,32623.5
CI.MPM,2019-07-04T20:06:15.008000Z,2019-07-04T20:06:20.488000Z,3.4092672242665746e-06,2228.8
CI.SLA,2019-07-04T20:06:13.318000Z,2019-07-04T20:06:17.418000Z,1.0317888954949267e-05,11460.0
PB.B916,2019-07-04T20:06:17.698000Z,2019-07-04T20:06:24.998000Z,8.681907323632305e-07,8268.5
CI.WBS,2019-07-04T20:06:18.518000Z,2019-07-04T20:06:26.418000Z,5.025836116641027e-06,8554.7
PB.B918,2019-07-04T20:06:13.128000Z,2019-07-04T20:06:17.058000Z,2.3761993675473664e-06,38055.5
CI.WCS2,2019-07-04T20:06:15.678000Z,2019-07-04T20:06:21.478000Z,5.106064124410858e-06,8870.3
CI.LRL,2019-07-04T20:06:13.468000Z,2019-07-04T20:06:17.628000Z,1.184869290478235e-05,1752.3
CI.JRC2,2019-07-04T20:06:15.658000Z,2019-07-04T20:06:21.418000Z,6.304463395251841e-06,78271.7
CI.CLC,2019-07-04T20:06:11.458000Z,2019-07-04T20:06:14.098000Z,1.0496058705136585e-05,61108.5
PB.B917,2019-07-04T20:06:14.778000Z,2019-07-04T20:06:19.858000Z,2.38447610056726e-06,50603.0
CI.WMF,2019-07-04T20:06:17.848000Z,2019-07-04T20:06:25.148000Z,1.858638037259978e-06,14259.5
PB.B921,2019-07-04T20:06:10.938000Z,2019-07-04T20:06:13.148000Z,6.800149839072824e-06,18834.9
CI.WBM,2019-07-04T20:06:15.153000Z,2019-07-04T20:06:20.433000Z,7.892437860102817e-06,27716.4
CI.DTP,2019-07-04T20:06:17.758000Z,2019-07-04T20:06:24.808000Z,1.4768623257299936e-06,303.0
CI.WOR,2019-07-04T20:06:19.518000Z,2019-07-04T20:06:27.388000Z,4.006048312181692e-06,2256.6
20190704174018.62,35.7108,-117.5027,10.6,4.20,1
CI.TOW2,2019-07-04T17:40:23.408000Z,2019-07-04T17:40:27.758000Z,0.0001566535849802662,48.9
CI.WRC2,2019-07-04T17:40:23.648000Z,2019-07-04T17:40:28.098000Z,0.00010830984797953188,81.3
CI.SRT,2019-07-04T17:40:22.868000Z,2019-07-04T17:40:26.738000Z,0.00018685809464533433,46.8
CI.WMF,2019-07-04T17:40:27.838000Z,2019-07-04T17:40:35.168000Z,1.8808495389723597e-05,64.4
CI.CLC,2019-07-04T17:40:21.358000Z,2019-07-04T17:40:23.868000Z,5.941566943618587e-05,914.0
PB.B921,2019-07-04T17:40:21.348000Z,2019-07-04T17:40:23.848000Z,7.794721769654513e-05,99.4
CI.LRL,2019-07-04T17:40:23.678000Z,2019-07-04T17:40:27.868000Z,4.699217762396518e-05,620.5
CI.WBM,2019-07-04T17:40:25.043000Z,2019-07-04T17:40:30.233000Z,9.354657474076364e-05,124.5
CI.SLA,2019-07-04T17:40:23.718000Z,2019-07-04T17:40:27.928000Z,0.0001681854384935555,85.9
CI.CCC,2019-07-04T17:40:23.318000Z,2019-07-04T17:40:27.158000Z,0.00031574005370117557,48.0
CI.JRC2,2019-07-04T17:40:25.568000Z,2019-07-04T17:40:31.058000Z,3.630317020611045e-05,172.0
PB.B916,2019-07-04T17:40:27.818000Z,2019-07-04T17:40:34.958000Z,8.619896010077376e-06,12.5
PB.B918,2019-07-04T17:40:23.188000Z,2019-07-04T17:40:26.718000Z,1.8133606360513745e-05,76.8
CI.WBS,2019-07-04T17:40:28.598000Z,2019-07-04T17:40:35.938000Z,5.43267014129116e-05,45.2
PB.B917,2019-07-04T17:40:25.518000Z,2019-07-04T17:40:30.438000Z,2.4219991939432428e-05,122.2
CI.WCS2,2019-07-04T17:40:25.958000Z,2019-07-04T17:40:31.188000Z,4.108770833552085e-05,66.8
CI.WOR,2019-07-04T17:40:29.558000Z,2019-07-04T17:40:37.338000Z,2.6828462957547696e-05,15.6
20190704181845.69,35.6318,-117.5993,12.6,3.20,2
CI.SRT,2019-07-04T18:18:48.958000Z,2019-07-04T18:18:51.978000Z,1.6379578173884264e-05,10973.2
CI.TOW2,2019-07-04T18:18:50.468000Z,2019-07-04T18:18:54.558000Z,2.7098805472812015e-05,4802.6
CI.MPM,2019-07-04T18:18:53.798000Z,2019-07-04T18:19:00.168000Z,1.4477883454184723e-06,627.6
CI.SLA,2019-07-04T18:18:52.748000Z,2019-07-04T18:18:58.238000Z,9.715312810070125e-06,345.7
CI.WRC2,2019-07-04T18:18:51.798000Z,2019-07-04T18:18:56.588000Z,3.6461375841001727e-06,3941.5
PB.B918,2019-07-04T18:18:51.398000Z,2019-07-04T18:18:55.888000Z,1.1570295360981356e-06,2783.5
CI.CCC,2019-07-04T18:18:50.658000Z,2019-07-04T18:18:54.588000Z,1.9082911261486166e-05,812.1
CI.CLC,2019-07-04T18:18:49.428000Z,2019-07-04T18:18:52.438000Z,6.104651248119479e-06,1021.1
PB.B916,2019-07-04T18:18:56.038000Z,2019-07-04T18:19:03.898000Z,2.8268882245826496e-07,3517.6
PB.B921,2019-07-04T18:18:48.548000Z,2019-07-04T18:18:50.888000Z,1.3177565267615635e-05,1656.8
CI.WBM,2019-07-04T18:18:50.723000Z,2019-07-04T18:18:54.653000Z,1.3288668954188896e-05,95796.3
CI.WCS2,2019-07-04T18:18:53.398000Z,2019-07-04T18:18:59.268000Z,2.5052925366292756e-06,2519.7
CI.JRC2,2019-07-04T18:18:52.928000Z,2019-07-04T18:18:58.438000Z,4.244808832964999e-06,3413.5
CI.LRL,2019-07-04T18:18:49.248000Z,2019-07-04T18:18:52.038000Z,2.100044272230261e-05,2190.8
CI.WMF,2019-07-04T18:18:55.418000Z,2019-07-04T18:19:02.708000Z,1.2287774165739868e-06,1252.6
CI.WBS,2019-07-04T18:18:54.058000Z,2019-07-04T18:19:00.308000Z,7.3134230353778774e-06,11134.7
CI.DTP,2019-07-04T18:18:53.468000Z,2019-07-04T18:18:59.188000Z,3.065378520744771e-06,436.8
PB.B917,2019-07-04T18:18:52.658000Z,2019-07-04T18:18:57.728000Z,1.6623953362982244e-06,138.2
CI.WOR,2019-07-04T18:18:55.308000Z,2019-07-04T18:19:02.188000Z,6.962667447766407e-06,20754.5
CI.CCA,2019-07-04T18:18:56.718000Z,2019-07-04T18:19:03.918000Z,2.338784732740837e-06,2839.0
20190704182759.55,35.7488,-117.5423,6.2,4.40,3
CI.TOW2,2019-07-04T18:28:03.498000Z,2019-07-04T18:28:07.298000Z,0.0002562853037511084,6459.1
CI.SRT,2019-07-04T18:28:03.238000Z,2019-07-04T18:28:06.758000Z,0.00014521842216065557,80020.6
CI.WRC2,2019-07-04T18:28:03.688000Z,2019-07-04T18:28:07.448000Z,0.0001493845614890162,19555.1
CI.DAW,2019-07-04T18:28:09.093000Z,2019-07-04T18:28:16.743000Z,7.255076758973298e-06,423.6
CI.CCC,2019-07-04T18:28:05.088000Z,2019-07-04T18:28:09.668000Z,0.00020078325051445286,20217.3
PB.B921,2019-07-04T18:28:02.868000Z,2019-07-04T18:28:05.808000Z,3.5973166507953424e-05,58052.8
PB.B916,2019-07-04T18:28:07.848000Z,2019-07-04T18:28:14.438000Z,4.225308981810224e-06,13617.0
PB.B918,2019-07-04T18:28:03.188000Z,2019-07-04T18:28:06.328000Z,2.270505303339106e-05,121045.5
CI.WCS2,2019-07-04T18:28:05.718000Z,2019-07-04T18:28:10.698000Z,6.38564527218289e-05,1462.7
CI.WBM,2019-07-04T18:28:05.663000Z,2019-07-04T18:28:10.573000Z,0.00015013760435142248,305173.3
CI.SLA,2019-07-04T18:28:04.628000Z,2019-07-04T18:28:08.768000Z,0.0001462242638022781,2392.3
CI.MPM,2019-07-04T18:28:05.488000Z,2019-07-04T18:28:10.258000Z,2.4862978156758685e-05,30044.2
CI.JRC2,2019-07-04T18:28:05.578000Z,2019-07-04T18:28:10.378000Z,0.00010166307454704698,4280.2
CI.WMF,2019-07-04T18:28:07.868000Z,2019-07-04T18:28:14.348000Z,3.341654199580826e-05,2829.4
CI.WBS,2019-07-04T18:28:09.098000Z,2019-07-04T18:28:16.478000Z,7.212156907476832e-05,21043.8
CI.CLC,2019-07-04T18:28:01.448000Z,2019-07-04T18:28:03.198000Z,0.00029657347440492003,630226.4
