id,timestamp,type,prob,phase_amplitude,event_idx,prob_gamma,event_id
AV.PV6A..SH,2021-05-16T00:53:47.360000,S,0.398,1.133086016125162e-06,3,0.0161002401925272,20210516T000000_3
AV.PV6A..SH,2021-05-16T01:09:18.120000,S,0.342,1.3465488564179395e-06,5,0.0039110871621418,20210516T000000_5
AV.PV6A..SH,2021-05-16T02:20:14.960000,S,0.305,4.5848778995605254e-07,7,0.0035737741615153,20210516T000000_7
AV.PV6A..SH,2021-05-16T02:28:03.760000,S,0.413,4.18228097487372e-07,8,0.0035737741615153,20210516T000000_8
AV.PV6A..SH,2021-05-16T04:45:10.080000,S,0.508,2.947740256331599e-07,-1,-1.0,20210516T000000_-1
AV.PV6A..SH,2021-05-16T04:52:37.400000,S,0.495,3.635584278072202e-07,9,0.0035737741615153,20210516T000000_9
AV.PV6A..SH,2021-05-16T07:52:40.440000,S,0.373,2.748098495430895e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T00:53:15.360000,P,0.729,2.52511199505534e-07,2,0.0161002401925272,20210516T000000_2
AV.PVV..SH,2021-05-16T01:06:42.880000,P,0.405,2.152728058035791e-07,4,0.0039110871621418,20210516T000000_4
AV.PVV..SH,2021-05-16T01:09:11.480000,P,0.86,4.358763874279248e-07,5,0.0161002401925272,20210516T000000_5
AV.PVV..SH,2021-05-16T01:59:16.920000,P,0.325,2.596958381673176e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T02:20:08.200000,P,0.86,4.614201998265344e-07,7,0.0198752632060607,20210516T000000_7
AV.PVV..SH,2021-05-16T02:27:56.640000,P,0.896,2.736720148277527e-07,8,0.0198752632060607,20210516T000000_8
AV.PVV..SH,2021-05-16T04:42:46.120000,P,0.644,1.85947598652092e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T04:52:30.160000,P,0.763,3.709257612172223e-07,9,0.0198752632060607,20210516T000000_9
AV.PVV..SH,2021-05-16T06:46:14.520000,P,0.318,1.4460422903539438e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T07:19:46.740000,P,0.926,2.269162280299497e-07,10,0.0039110871621418,20210516T000000_10
AV.PVV..SH,2021-05-16T07:32:13.980000,P,0.561,1.5007903186869953e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T07:42:15.740000,P,0.716,2.3329198484134403e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T07:52:31.580000,P,0.722,2.559869187734876e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T00:53:22.400000,S,0.382,2.706291013510054e-07,2,0.0042322467799247,20210516T000000_2
AV.PVV..SH,2021-05-16T00:53:43.600000,S,0.682,6.717797873534437e-07,3,0.0042322467799247,20210516T000000_3
AV.PVV..SH,2021-05-16T01:09:15.580000,S,0.366,4.358763874279248e-07,5,0.0042322467799247,20210516T000000_5
AV.PVV..SH,2021-05-16T01:59:20.860000,S,0.494,2.596958381673176e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T02:20:12.060000,S,0.624,4.614201998265344e-07,7,0.0039110871621418,20210516T000000_7
AV.PVV..SH,2021-05-16T02:27:59.400000,S,0.522,2.833027110682451e-07,8,0.0039110871621418,20210516T000000_8
AV.PVV..SH,2021-05-16T04:31:48.400000,S,0.452,1.7321153222837893e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T06:46:14.440000,S,0.471,1.5757903781832288e-07,-1,-1.0,20210516T000000_-1
AV.PVV..SH,2021-05-16T07:52:37.520000,S,0.704,2.559869187734876e-07,-1,-1.0,20210516T000000_-1
AV.S12K..BH,2021-05-16T00:53:49.740000,S,0.601,2.3174936814029934e-06,-1,-1.0,20210516T000000_-1
AV.S12K..BH,2021-05-16T06:18:18.720000,S,0.318,9.215200975631888e-07,-1,-1.0,20210516T000000_-1
AV.DEER..BH,2021-05-16T08:26:26.200000,P,0.672,1.127900873143517e-06,3,0.0051469671319894,20210516T080000_3
AV.DEER..BH,2021-05-16T13:30:08.320000,P,0.87,6.310275466603343e-07,6,0.0051469671319894,20210516T080000_6
AV.DEER..BH,2021-05-16T14:18:42.140000,P,0.961,1.0314867040506217e-06,9,0.0051469671319894,20210516T080000_9
AV.DEER..BH,2021-05-16T13:30:28.520000,S,0.374,1.18356445000245e-06,-1,-1.0,20210516T080000_-1
AV.DEER..BH,2021-05-16T14:18:51.380000,S,0.783,8.196377621061401e-07,9,0.0010982489068228,20210516T080000_9
AV.DOL..BH,2021-05-16T08:00:01.560000,P,0.529,9.184770419778944e-07,-1,-1.0,20210516T080000_-1
AV.DOL..BH,2021-05-16T08:40:03.240000,P,0.945,9.142640351456066e-07,4,0.0051469671319894,20210516T080000_4
AV.DOL..BH,2021-05-16T11:39:15.480000,P,0.624,1.0669571111066034e-06,-1,-1.0,20210516T080000_-1
AV.DOL..BH,2021-05-16T13:30:12.980000,P,0.8,1.1680980378514505e-06,6,0.0010982489068228,20210516T080000_6
AV.DOL..BH,2021-05-16T14:18:44.620000,P,0.937,8.531361572750029e-07,-1,-1.0,20210516T080000_-1
AV.DOL..BH,2021-05-16T14:21:34.320000,P,0.358,1.0969733921228908e-06,10,0.0051469671319894,20210516T080000_10
AV.DOL..BH,2021-05-16T15:48:08.060000,P,0.909,2.298221488672425e-06,12,0.0051469671319894,20210516T080000_12
AV.DOL..BH,2021-05-16T08:40:13.860000,S,0.844,1.004791783998371e-06,4,0.0010982489068228,20210516T080000_4
AV.DOL..BH,2021-05-16T11:39:24.360000,S,0.565,1.034432557389664e-06,-1,-1.0,20210516T080000_-1
AV.DOL..BH,2021-05-16T14:18:56.020000,S,0.811,1.0269667427564857e-06,9,0.0030787938450925,20210516T080000_9
AV.DOL..BH,2021-05-16T14:21:51.780000,S,0.838,1.3448238860291897e-06,11,0.0051469671319894,20210516T080000_11
AV.DOL..BH,2021-05-16T15:48:26.040000,S,0.914,7.332719633268425e-06,-1,-1.0,20210516T080000_-1
AV.DT1..BH,2021-05-16T08:40:05.580000,P,0.597,9.644095371186268e-07,4,0.0030787938450925,20210516T080000_4
AV.DT1..BH,2021-05-16T13:30:09.900000,P,0.909,1.1717157804014278e-06,6,0.0030787938450925,20210516T080000_6
AV.DT1..BH,2021-05-16T14:18:44.060000,P,0.947,8.325372959916422e-07,9,0.0001392562274901,20210516T080000_9
