time,magnitude,longitude,latitude,depth(m),sigma_time,sigma_amp,cov_time_amp,gamma_score,event_index,event_id
2021-05-17T09:02:03.461,1.309,-162.122,54.905,61000.0,0.761,0.205,-0.025,7.665,3,20210517T080000_3
2021-05-17T09:36:42.526,0.076,-162.081,55.27,0.0,0.27,0.358,-0.003,7.0,4,20210517T080000_4
2021-05-17T10:19:12.163,2.313,-162.05,54.905,40052.677,0.767,0.493,-0.184,17.845,5,20210517T080000_5
2021-05-17T10:19:18.467,1.894,-161.661,54.905,0.0,0.583,0.4,0.108,4.155,6,20210517T080000_6
2021-05-17T10:36:45.325,1.291,-161.317,54.904,55959.212,0.415,0.22,-0.032,6.68,7,20210517T080000_7
2021-05-17T12:51:45.341,1.31,-161.008,54.902,61000.0,0.842,0.343,0.021,14.989,8,20210517T080000_8
2021-05-17T13:21:06.904,1.754,-161.351,54.904,46999.9,0.401,0.156,0.025,11.0,9,20210517T080000_9
2021-05-17T13:21:18.173,1.931,-161.411,54.904,44942.11,0.619,0.208,0.018,11.0,10,20210517T080000_10
2021-05-17T13:22:04.352,1.098,-162.673,54.902,11817.019,0.267,0.264,-0.01,6.0,11,20210517T080000_11
2021-05-17T13:22:10.737,1.626,-162.775,55.004,41042.8,0.554,0.195,-0.043,5.0,12,20210517T080000_12
2021-05-17T13:34:28.739,0.835,-161.294,54.903,31742.276,0.318,0.294,-0.009,4.95,13,20210517T080000_13
2021-05-17T14:22:23.185,0.921,-162.773,54.902,9752.766,0.548,0.261,0.327,4.974,14,20210517T080000_14
2021-05-17T16:10:54.102,1.542,-161.283,54.903,43327.171,0.356,0.151,0.013,9.491,1,20210517T160000_1
2021-05-17T16:10:59.861,1.701,-162.697,55.738,61000.0,0.366,0.278,-0.012,6.657,2,20210517T160000_2
2021-05-17T16:11:17.604,1.061,-161.807,55.224,33426.298,0.034,0.297,0.001,3.622,3,20210517T160000_3
2021-05-17T16:22:47.015,0.668,-161.93,55.031,0.0,0.261,0.391,-0.02,5.0,4,20210517T160000_4
2021-05-17T16:53:22.108,1.133,-162.558,54.903,61000.0,0.433,0.13,-0.0,8.0,5,20210517T160000_5
2021-05-17T16:59:37.242,1.526,-161.287,54.903,46821.627,0.343,0.124,0.009,9.673,6,20210517T160000_6
2021-05-17T16:59:52.939,1.542,-161.003,55.139,9191.768,0.344,0.225,-0.006,7.0,7,20210517T160000_7
2021-05-17T17:14:46.541,0.721,-161.67,55.099,28003.208,0.39,0.275,-0.004,10.0,8,20210517T160000_8
2021-05-17T17:15:06.451,0.298,-161.841,55.058,1495.033,0.234,0.227,0.009,4.636,9,20210517T160000_9
2021-05-17T17:44:57.292,0.118,-161.732,55.328,38632.505,0.02,0.098,0.0,4.0,10,20210517T160000_10
2021-05-17T17:57:33.855,1.189,-161.672,55.467,61000.0,0.346,0.087,0.007,5.0,11,20210517T160000_11
2021-05-17T19:28:20.198,1.29,-162.773,54.902,61000.0,1.099,0.171,0.099,9.862,12,20210517T160000_12
2021-05-17T20:27:47.037,1.692,-162.783,55.364,43679.717,0.269,0.118,0.021,4.62,14,20210517T160000_14
2021-05-17T20:27:51.788,0.696,-162.251,55.01,8692.297,0.44,0.788,0.087,9.38,13,20210517T160000_13
2021-05-17T21:59:40.427,1.22,-161.957,54.905,61000.0,0.811,0.243,-0.056,13.0,15,20210517T160000_15
2021-05-17T23:49:30.269,1.222,-161.003,55.139,61000.0,0.404,0.295,-0.0,7.359,16,20210517T160000_16
2021-05-17T23:49:32.311,1.303,-160.998,55.364,61000.0,0.439,0.302,-0.016,5.378,17,20210517T160000_17
2021-05-18T01:36:49.441,1.268,-161.208,54.903,61000.0,0.649,0.059,0.01,8.0,1,20210518T000000_1
2021-05-18T02:09:25.828,0.88,-161.852,55.18,30097.737,0.699,0.26,-0.052,10.0,2,20210518T000000_2
2021-05-18T02:18:49.582,2.087,-162.725,54.902,61000.0,0.836,0.254,0.029,8.567,3,20210518T000000_3
2021-05-18T02:18:50.940,1.873,-161.637,54.905,61000.0,0.667,0.392,-0.093,8.718,4,20210518T000000_4
2021-05-18T02:51:03.371,0.979,-161.954,54.905,46590.474,0.646,0.097,-0.04,7.0,5,20210518T000000_5
2021-05-18T03:55:01.972,1.675,-161.206,55.327,61000.0,0.607,0.207,0.0,11.377,6,20210518T000000_6
2021-05-18T03:56:23.047,1.662,-161.518,55.335,0.0,0.257,0.314,0.036,3.992,7,20210518T000000_7
2021-05-18T03:59:33.647,1.282,-161.527,54.955,24941.911,0.343,0.153,-0.015,7.0,8,20210518T000000_8
2021-05-18T04:31:45.338,0.323,-162.322,55.248,15985.617,0.44,0.16,-0.007,4.286,9,20210518T000000_9
2021-05-18T04:49:36.439,0.712,-161.713,55.317,16378.55,0.186,0.281,-0.034,7.661,10,20210518T000000_10
2021-05-18T05:08:00.759,0.937,-161.802,55.447,12049.906,0.59,0.318,-0.083,10.0,11,20210518T000000_11
2021-05-18T05:27:31.525,0.034,-161.802,55.248,11934.439,0.66,0.418,0.022,6.0,12,20210518T000000_12
2021-05-18T05:42:32.384,1.556,-162.774,54.944,53914.103,0.534,0.32,0.07,10.095,13,20210518T000000_13
2021-05-18T07:19:27.738,0.462,-161.648,55.291,19274.041,0.512,0.312,-0.067,7.999,14,20210518T000000_14
2021-05-18T08:35:31.955,0.085,-161.757,55.175,0.0,0.809,0.37,-0.015,5.0,1,20210518T080000_1
2021-05-18T08:49:21.185,1.018,-161.518,54.904,61000.0,0.351,0.055,0.008,7.0,2,20210518T080000_2
2021-05-18T09:12:16.110,0.965,-162.419,55.226,61000.0,0.454,0.222,-0.017,5.0,3,20210518T080000_3
2021-05-18T09:37:07.667,1.042,-161.497,54.904,35837.218,0.56,0.165,0.019,9.931,4,20210518T080000_4
2021-05-18T09:37:10.959,1.337,-162.652,55.772,61000.0,0.569,0.323,0.053,5.711,5,20210518T080000_5
2021-05-18T09:47:08.812,1.839,-161.349,54.904,49689.371,0.372,0.155,0.019,11.0,6,20210518T080000_6
2021-05-18T09:47:19.921,2.036,-161.384,54.904,46534.832,1.038,0.15,0.008,10.0,7,20210518T080000_7
2021-05-18T10:42:08.700,1.259,-162.474,55.185,61000.0,0.483,0.245,-0.026,7.0,8,20210518T080000_8
2021-05-18T10:48:38.178,0.608,-161.432,54.904,631.177,0.887,0.299,0.017,6.0,9,20210518T080000_9
2021-05-18T10:48:59.184,0.385,-161.464,55.293,19157.099,0.268,0.232,0.013,4.043,10,20210518T080000_10
2021-05-18T11:07:28.152,0.449,-161.86,55.398,24177.92,0.489,0.311,-0.046,9.0,11,20210518T080000_11
2021-05-18T11:18:45.505,0.915,-162.773,54.902,61000.0,0.339,0.236,0.0,4.37,12,20210518T080000_12
2021-05-18T11:18:45.965,0.923,-162.291,54.904,61000.0,0.391,0.048,-0.001,4.63,13,20210518T080000_13
2021-05-18T11:21:53.018,0.525,-162.376,55.029,4712.614,0.81,0.324,-0.213,7.0,14,20210518T080000_14
2021-05-18T12:47:12.323,0.381,-162.258,55.266,0.0,0.373,0.309,-0.032,8.0,15,20210518T080000_15
2021-05-18T13:38:40.005,0.918,-161.345,55.756,61000.0,0.358,0.352,-0.007,8.0,16,20210518T080000_16
2021-05-18T14:04:38.041,0.72,-161.953,55.126,0.0,0.301,0.246,-0.016,7.253,17,20210518T080000_17
2021-05-18T14:11:34.879,0.8,-162.053,55.537,34965.389,0.403,0.251,0.037,6.633,18,20210518T080000_18
2021-05-18T15:45:01.552,0.604,-161.882,55.449,29548.579,0.242,0.314,-0.032,14.0,19,20210518T080000_19
2021-05-18T15:49:03.185,0.374,-161.808,55.457,28815.741,0.117,0.311,-0.009,7.0,20,20210518T080000_20
2021-05-18T15:59:08.176,0.74,-161.992,55.281,34852.442,0.721,0.286,-0.194,10.0,21,20210518T080000_21
2021-05-18T17:28:18.913,0.565,-161.945,55.741,0.0,0.132,0.379,-0.011,4.703,1,20210518T160000_1
2021-05-18T17:33:45.974,1.504,-161.005,55.049,20110.953,0.414,0.202,0.03,19.991,2,20210518T160000_2
2021-05-18T18:08:17.508,0.537,-161.49,55.245,15378.901,0.889,0.39,-0.096,9.0,3,20210518T160000_3
2021-05-18T18:53:54.621,0.861,-161.008,54.902,61000.0,1.096,0.252,-0.002,4.0,4,20210518T160000_4
2021-05-18T20:29:18.277,1.428,-162.116,55.872,0.0,0.382,0.344,0.043,5.884,6,20210518T160000_6
2021-05-18T20:29:19.978,1.334,-162.773,54.902,61000.0,0.78,0.183,-0.009,4.969,5,20210518T160000_5
2021-05-18T21:56:51.669,0.484,-162.401,55.14,5912.006,0.081,0.16,-0.001,4.0,7,20210518T160000_7
2021-05-18T23:28:10.293,2.09,-161.092,54.902,58712.038,0.279,0.205,0.02,10.0,8,20210518T160000_8
2021-05-18T23:28:19.509,2.491,-161.13,54.903,53593.639,0.443,0.251,0.049,10.0,9,20210518T160000_9
2021-05-19T00:58:11.869,1.809,-161.588,54.905,61000.0,0.612,0.266,-0.042,15.0,1,20210519T000000_1
2021-05-19T03:05:12.925,0.654,-162.345,55.035,0.0,0.462,0.633,0.027,3.857,2,20210519T000000_2
2021-05-19T04:16:32.793,2.015,-162.773,54.902,61000.0,0.978,0.275,0.058,19.0,3,20210519T000000_3
2021-05-19T04:20:01.411,1.643,-162.773,54.902,61000.0,1.13,0.293,-0.111,14.0,4,20210519T000000_4
2021-05-19T09:51:16.176,1.978,-161.383,54.904,54213.632,0.427,0.194,-0.005,8.72,1,20210519T080000_1
2021-05-19T09:51:22.441,2.181,-162.731,55.736,61000.0,0.482,0.22,0.031,5.657,2,20210519T080000_2
2021-05-19T11:27:33.600,2.433,-161.008,54.902,61000.0,0.82,0.252,-0.014,20.0,3,20210519T080000_3
2021-05-19T13:17:02.626,1.494,-161.379,54.904,24019.523,0.202,0.272,0.003,5.0,4,20210519T080000_4
2021-05-19T13:17:26.943,1.009,-161.852,55.179,19248.442,0.185,0.363,-0.009,5.786,5,20210519T080000_5
2021-05-19T13:32:46.242,1.497,-161.005,55.018,3040.912,0.268,0.383,0.052,5.0,6,20210519T080000_6
2021-05-19T13:32:54.842,1.419,-161.008,54.902,20740.222,0.724,0.271,0.002,4.0,7,20210519T080000_7
2021-05-19T19:05:55.181,0.235,-161.63,55.319,3536.523,0.0,0.453,0.0,3.985,1,20210519T160000_1
2021-05-19T20:35:08.022,1.296,-161.135,54.903,1844.964,0.382,0.206,-0.004,4.0,2,20210519T160000_2
2021-05-19T20:35:15.696,1.677,-161.005,55.03,37129.477,0.283,0.336,-0.008,6.0,3,20210519T160000_3
2021-05-20T04:12:07.389,1.753,-161.0,55.274,60621.478,0.215,0.32,-0.045,6.0,1,20210520T000000_1
2021-05-20T04:12:47.839,-0.004,-161.813,55.406,0.0,0.386,0.869,0.112,5.918,2,20210520T000000_2
2021-05-20T05:19:20.613,1.338,-162.773,54.902,26865.459,0.752,0.143,-0.021,5.0,3,20210520T000000_3
2021-05-20T05:19:40.565,1.017,-162.277,54.936,0.0,0.499,0.603,0.061,4.806,4,20210520T000000_4
2021-05-20T08:39:33.296,2.251,-162.773,54.902,61000.0,0.917,0.416,-0.209,18.0,1,20210520T080000_1
2021-05-20T09:10:10.043,1.528,-161.303,54.903,36338.548,0.228,0.346,-0.023,7.0,2,20210520T080000_2
2021-05-20T09:10:22.515,1.437,-161.274,54.903,28661.394,0.592,0.333,0.024,5.0,3,20210520T080000_3
2021-05-20T11:01:15.924,2.136,-162.773,54.902,61000.0,0.907,0.322,-0.004,11.354,4,20210520T080000_4
2021-05-20T11:01:18.410,1.946,-161.672,54.905,58537.333,0.413,0.367,-0.026,6.248,5,20210520T080000_5
2021-05-20T11:15:56.191,0.881,-162.262,54.904,0.0,0.218,0.502,-0.025,6.151,6,20210520T080000_6
2021-05-20T11:15:57.399,1.762,-162.707,55.386,61000.0,0.695,0.426,0.036,4.346,7,20210520T080000_7
2021-05-20T14:22:04.068,0.196,-161.585,55.217,54.499,0.35,0.354,0.076,4.0,8,20210520T080000_8
2021-05-20T16:56:14.188,1.475,-162.382,54.904,47153.26,0.947,0.242,-0.075,7.0,1,20210520T160000_1
2021-05-20T17:53:45.284,2.428,-161.657,54.905,30031.14,0.328,0.15,0.009,10.0,2,20210520T160000_2
2021-05-20T17:53:53.993,2.834,-161.658,54.905,31016.75,0.72,0.22,0.006,10.0,3,20210520T160000_3
2021-05-20T19:41:11.337,0.425,-161.912,55.3,17637.221,0.045,0.33,0.0,6.0,4,20210520T160000_4
2021-05-20T20:17:43.352,0.307,-161.521,55.169,22312.435,0.186,0.224,0.007,4.0,5,20210520T160000_5
2021-05-20T20:53:14.286,1.929,-161.27,54.903,47564.163,0.239,0.263,-0.006,9.0,6,20210520T160000_6
2021-05-20T20:53:28.949,1.955,-161.417,54.904,30459.182,0.622,0.267,0.046,12.0,7,20210520T160000_7
2021-05-20T22:38:05.644,1.383,-161.007,54.93,31023.746,0.234,0.346,-0.005,4.961,8,20210520T160000_8
2021-05-20T22:38:31.069,0.6,-162.042,55.242,23380.091,0.465,0.252,0.004,4.848,9,20210520T160000_9
2021-05-20T23:06:02.333,1.602,-161.692,54.905,61000.0,0.858,0.39,-0.255,15.0,10,20210520T160000_10
2021-05-20T23:27:44.101,1.73,-162.158,54.905,61000.0,0.854,0.304,-0.02,7.0,11,20210520T160000_11
2021-05-21T00:01:13.454,0.761,-162.198,55.339,49.724,0.372,0.548,0.034,4.991,1,20210521T000000_1
2021-05-21T01:00:30.454,1.085,-161.312,54.904,30320.303,0.148,0.35,-0.003,5.0,2,20210521T000000_2
2021-05-21T01:06:36.434,0.849,-162.337,55.22,2470.791,0.0,0.315,0.0,3.834,3,20210521T000000_3
2021-05-21T01:07:07.985,1.986,-162.778,55.139,25967.015,0.192,0.303,0.031,4.0,4,20210521T000000_4
2021-05-21T01:48:45.421,1.823,-162.628,55.174,61000.0,0.59,0.11,-0.013,4.0,5,20210521T000000_5
2021-05-21T03:21:15.548,1.015,-161.846,54.905,0.0,0.405,0.428,0.1,8.0,6,20210521T000000_6
2021-05-21T03:21:23.289,1.309,-161.862,54.905,0.0,0.382,0.37,0.014,9.0,7,20210521T000000_7
2021-05-21T04:48:44.001,0.506,-161.844,55.4,30024.494,0.322,0.411,-0.054,5.0,8,20210521T000000_8
2021-05-21T07:37:23.786,0.009,-161.616,55.241,21.504,0.189,0.285,0.033,4.0,9,20210521T000000_9
2021-05-21T11:05:35.215,1.175,-161.024,55.02,1142.152,0.221,0.355,0.007,4.0,1,20210521T080000_1
